iso3,year,tenure,share
MEX,2020,tenant,0.1510
MEX,2022,other,0.1540
MEX,2022,owner,0.6960
MEX,2022,tenant,0.1500
MEX,2024,other,0.1440
MEX,2024,owner,0.6990
MEX,2024,tenant,0.1570
NIC,2014,other,0.2160
NIC,2014,owner,0.7400
NIC,2014,tenant,0.0440
PAN,2011,other,0.0620
PAN,2011,owner,0.8160
PAN,2011,tenant,0.1220
PAN,2013,other,0.0550
PAN,2013,owner,0.8190
PAN,2013,tenant,0.1260
PAN,2014,other,0.0490
PAN,2014,owner,0.8270
PAN,2014,tenant,0.1250
PAN,2015,other,0.0550
PAN,2015,owner,0.8250
PAN,2015,tenant,0.1200
PAN,2016,other,0.0490
PAN,2016,owner,0.8220
PAN,2016,tenant,0.1290
PAN,2017,other,0.0570
PAN,2017,owner,0.8100
PAN,2017,tenant,0.1330
PAN,2018,other,0.0490
PAN,2018,owner,0.8220
PAN,2018,tenant,0.1300
PAN,2019,other,0.0550
PAN,2019,owner,0.8220
PAN,2019,tenant,0.1230
PAN,2021,other,0.0420
PAN,2021,owner,0.8480
PAN,2021,tenant,0.1100
PAN,2022,other,0.0440
PAN,2022,owner,0.8350
PAN,2022,tenant,0.1220
PAN,2023,other,0.0520
PAN,2023,owner,0.8190
PAN,2023,tenant,0.1290
PAN,2024,other,0.0610
PAN,2024,owner,0.8210
PAN,2024,tenant,0.1180
PER,2010,other,0.2270
PER,2010,owner,0.6730
PER,2010,tenant,0.0990
PER,2011,other,0.2240
PER,2011,owner,0.6850
PER,2011,tenant,0.0920
PER,2012,other,0.2190
PER,2012,owner,0.6920
PER,2012,tenant,0.0900
PER,2013,other,0.2080
PER,2013,owner,0.7020
PER,2013,tenant,0.0900
PER,2014,other,0.2060
PER,2014,owner,0.7050
PER,2014,tenant,0.0890
PER,2015,other,0.2090
PER,2015,owner,0.6980
PER,2015,tenant,0.0930
PER,2016,other,0.2190
PER,2016,owner,0.6860
PER,2016,tenant,0.0950
PER,2017,other,0.2150
PER,2017,owner,0.6920
PER,2017,tenant,0.0930
PER,2018,other,0.2040
PER,2018,owner,0.7000
PER,2018,tenant,0.0960
PER,2019,other,0.2000
PER,2019,owner,0.7020
PER,2019,tenant,0.0980
PER,2020,other,0.2020
PER,2020,owner,0.7020
PER,2020,tenant,0.0960
PER,2021,other,0.2280
PER,2021,owner,0.6720
PER,2021,tenant,0.1000
PER,2022,other,0.2210
PER,2022,owner,0.6750
PER,2022,tenant,0.1040
PER,2023,other,0.2180
PER,2023,owner,0.6790
PER,2023,tenant,0.1030
PER,2024,other,0.2020
PER,2024,owner,0.6950
PER,2024,tenant,0.1030
PRY,2010,other,0.1310
PRY,2010,owner,0.7510
PRY,2010,tenant,0.1180
PRY,2011,other,0.1160
PRY,2011,owner,0.7920
PRY,2011,tenant,0.0910
PRY,2012,other,0.1240
PRY,2012,owner,0.7680
PRY,2012,tenant,0.1080
PRY,2013,other,0.1070
PRY,2013,owner,0.7690
PRY,2013,tenant,0.1240
PRY,2014,other,0.1180
PRY,2014,owner,0.7660
PRY,2014,tenant,0.1170
PRY,2015,other,0.1030
PRY,2015,owner,0.7690
PRY,2015,tenant,0.1280
PRY,2016,other,0.1120
PRY,2016,owner,0.7750
PRY,2016,tenant,0.1130
PRY,2017,other,0.1060
