iso3,year,measure,sex,value
CHL,2020,occupational_income,_Z,27.2
CHL,2020,public_income,_Z,18.3
CHL,2022,occupational_income,_Z,26.8
CHL,2022,public_income,_Z,24
CHL,2024,pension_age,F,65
CHL,2024,pension_age,M,65
CHL,2024,replacement_rate,F,49.6
CHL,2024,replacement_rate,M,49.7
CHN,2024,pension_age,F,55
CHN,2024,pension_age,M,60
CHN,2024,replacement_rate,F,61.9
CHN,2024,replacement_rate,M,80.6
COL,2020,occupational_income,_Z,0
COL,2020,public_income,_Z,0
COL,2024,pension_age,F,57
COL,2024,pension_age,M,62
COL,2024,replacement_rate,F,74.8
COL,2024,replacement_rate,M,74.8
CRI,2018,occupational_income,_Z,0
CRI,2018,public_income,_Z,49.7
CRI,2020,occupational_income,_Z,0
CRI,2020,public_income,_Z,46.1
CRI,2022,occupational_income,_Z,0
CRI,2022,public_income,_Z,47.1
CRI,2024,pension_age,F,63
CRI,2024,pension_age,M,65
CRI,2024,replacement_rate,F,62.2
CRI,2024,replacement_rate,M,65.7
CYP,2024,pension_age,F,65
CYP,2024,pension_age,M,65
CYP,2024,replacement_rate,F,64.3
CYP,2024,replacement_rate,M,64.3
CZE,2014,occupational_income,_Z,0
CZE,2014,public_income,_Z,78.5
CZE,2016,occupational_income,_Z,0
CZE,2016,public_income,_Z,78.1
CZE,2018,occupational_income,_Z,0
CZE,2018,public_income,_Z,75.9
CZE,2020,occupational_income,_Z,0
CZE,2020,public_income,_Z,76
CZE,2022,occupational_income,_Z,0
CZE,2022,public_income,_Z,75.5
CZE,2024,pension_age,F,64.2
CZE,2024,pension_age,M,64.2
CZE,2024,replacement_rate,F,44.2
CZE,2024,replacement_rate,M,44.2
DEU,2014,occupational_income,_Z,4.9
DEU,2014,public_income,_Z,69.2
DEU,2016,occupational_income,_Z,4.8
DEU,2016,public_income,_Z,70.6
DEU,2018,occupational_income,_Z,4.4
DEU,2018,public_income,_Z,68.3
DEU,2020,occupational_income,_Z,4.6
DEU,2020,public_income,_Z,68
DEU,2022,occupational_income,_Z,3.9
DEU,2022,public_income,_Z,66.1
DEU,2024,pension_age,F,66.2
DEU,2024,pension_age,M,66.2
DEU,2024,replacement_rate,F,42.1
DEU,2024,replacement_rate,M,42.1
DNK,2014,occupational_income,_Z,14.5
DNK,2014,public_income,_Z,48.4
DNK,2016,occupational_income,_Z,14.5
DNK,2016,public_income,_Z,46.6
DNK,2018,occupational_income,_Z,14.5
DNK,2018,public_income,_Z,45.9
DNK,2020,occupational_income,_Z,15.2
DNK,2020,public_income,_Z,44.8
DNK,2022,occupational_income,_Z,14.7
DNK,2022,public_income,_Z,43.2
DNK,2024,pension_age,F,67
DNK,2024,pension_age,M,67
DNK,2024,replacement_rate,F,72.7
DNK,2024,replacement_rate,M,72.7
ESP,2014,occupational_income,_Z,0
ESP,2014,public_income,_Z,70.6
ESP,2016,occupational_income,_Z,0
ESP,2016,public_income,_Z,71.4
ESP,2018,occupational_income,_Z,0
ESP,2018,public_income,_Z,71.4
ESP,2020,occupational_income,_Z,0
ESP,2020,public_income,_Z,71.9
ESP,2022,occupational_income,_Z,0
ESP,2022,public_income,_Z,69.8
ESP,2024,pension_age,F,65
ESP,2024,pension_age,M,65
ESP,2024,replacement_rate,F,80.4
ESP,2024,replacement_rate,M,80.4
EST,2014,occupational_income,_Z,0
EST,2014,public_income,_Z,63.7
EST,2016,occupational_income,_Z,0
EST,2016,public_income,_Z,64.2
EST,2018,occupational_income,_Z,0
EST,2018,public_income,_Z,61.1
EST,2020,occupational_income,_Z,0
EST,2020,public_income,_Z,63.6
EST,2022,occupational_income,_Z,0
EST,2022,public_income,_Z,62.5
EST,2024,pension_age,F,64.8
EST,2024,pension_age,M,64.8
EST,2024,replacement_rate,F,29.3
EST,2024,replacement_rate,M,29.3
FIN,2014,occupational_income,_Z,0
FIN,2014,public_income,_Z,80.8
FIN,2016,occupational_income,_Z,0
FIN,2016,public_income,_Z,81.8
FIN,2018,occupational_income,_Z,0
FIN,2018,public_income,_Z,81.7
FIN,2020,occupational_income,_Z,0
FIN,2020,public_income,_Z,80.3
FIN,2022,occupational_income,_Z,0
FIN,2022,public_income,_Z,80.7
FIN,2024,pension_age,F,65
FIN,2024,pension_age,M,65
FIN,2024,replacement_rate,F,57.8
FIN,2024,replacement_rate,M,57.8
FRA,2014,occupational_income,_Z,0
FRA,2014,public_income,_Z,77.3
FRA,2016,occupational_income,_Z,0
FRA,2016,public_income,_Z,78.1
FRA,2018,occupational_income,_Z,0
FRA,2018,public_income,_Z,78.1
FRA,2020,occupational_income,_Z,0
FRA,2020,public_income,_Z,78.1
FRA,2022,occupational_income,_Z,0
FRA,2022,public_income,_Z,78.1
