iso3,year,activity,item,value,unit_mult
AUT,2021,I,B1G,8328.366,6
AUT,2021,J,B1G,15276.278,6
AUT,2021,J58,B1G,1469.171,6
AUT,2021,J58T60,B1G,2624.356,6
AUT,2021,J59_60,B1G,1155.185,6
AUT,2021,J61,B1G,3249.298,6
AUT,2021,J62_63,B1G,9402.624,6
AUT,2021,K,B1G,16731.921,6
AUT,2021,K64,B1G,9995.176,6
AUT,2021,K65,B1G,4355.95,6
AUT,2021,K66,B1G,2380.795,6
AUT,2021,L,B1G,35461.435,6
AUT,2021,L68A,B1G,18248.453,6
AUT,2021,M,B1G,20966.323,6
AUT,2021,M69T71,B1G,16293.036,6
AUT,2021,M69_70,B1G,10848.262,6
AUT,2021,M71,B1G,5444.774,6
AUT,2021,M72,B1G,1851.508,6
AUT,2021,M73,B1G,1712.975,6
AUT,2021,M73T75,B1G,2821.779,6
AUT,2021,M74_75,B1G,1108.804,6
AUT,2021,N,B1G,15829.02,6
AUT,2021,N77,B1G,4624.521,6
AUT,2021,N78,B1G,4579.212,6
AUT,2021,N79,B1G,247.287,6
AUT,2021,N80T82,B1G,6378,6
AUT,2021,O,B1G,19053.784,6
AUT,2021,P,B1G,19808.423,6
AUT,2021,Q,B1G,29892.02,6
AUT,2021,Q86,B1G,22372.429,6
AUT,2021,Q87_88,B1G,7519.591,6
AUT,2021,R,B1G,2972.013,6
AUT,2021,R90T92,B1G,2026.895,6
AUT,2021,R93,B1G,945.118,6
AUT,2021,S,B1G,5106.234,6
AUT,2021,S94,B1G,2928.3,6
AUT,2021,S95,B1G,151.232,6
AUT,2021,S96,B1G,2026.702,6
AUT,2021,T,B1G,132.031,6
AUT,2021,_T,B1G,362536.79,6
AUT,2022,A,B1G,6050.913,6
AUT,2022,A01,B1G,4501.178,6
AUT,2022,A02,B1G,1512.267,6
AUT,2022,A03,B1G,37.468,6
AUT,2022,B,B1G,1432.989,6
AUT,2022,C,B1G,74829.229,6
AUT,2022,C10T12,B1G,8531.82,6
AUT,2022,C13T15,B1G,911.852,6
AUT,2022,C16,B1G,3671.495,6
AUT,2022,C16T18,B1G,6984.944,6
AUT,2022,C17,B1G,2580.541,6
AUT,2022,C18,B1G,732.908,6
AUT,2022,C19,B1G,760.45,6
AUT,2022,C20,B1G,3267.345,6
AUT,2022,C21,B1G,2653.668,6
AUT,2022,C22,B1G,2810.446,6
AUT,2022,C22_23,B1G,5688.653,6
AUT,2022,C23,B1G,2878.207,6
AUT,2022,C24,B1G,5338.885,6
AUT,2022,C24_25,B1G,13196.835,6
AUT,2022,C25,B1G,7857.95,6
AUT,2022,C26,B1G,5419.278,6
AUT,2022,C27,B1G,5470.754,6
AUT,2022,C28,B1G,10301.707,6
AUT,2022,C29,B1G,4317.599,6
AUT,2022,C29_30,B1G,5951.013,6
AUT,2022,C30,B1G,1633.414,6
AUT,2022,C31T33,B1G,5690.91,6
AUT,2022,C31_32,B1G,3178.935,6
AUT,2022,C33,B1G,2511.974,6
AUT,2022,D,B1G,9530.475,6
AUT,2022,E,B1G,3925.41,6
AUT,2022,E36,B1G,608.615,6
AUT,2022,E37T39,B1G,3316.795,6
AUT,2022,F,B1G,26422.333,6
AUT,2022,G,B1G,51139.526,6
AUT,2022,G45,B1G,5551.353,6
AUT,2022,G46,B1G,27378.008,6
AUT,2022,G47,B1G,18210.165,6
AUT,2022,H,B1G,21544.101,6
AUT,2022,H49,B1G,10445.091,6
AUT,2022,H50,B1G,47.232,6
AUT,2022,H51,B1G,912.87,6
AUT,2022,H52,B1G,8576.733,6
AUT,2022,H53,B1G,1562.175,6
AUT,2022,I,B1G,15056.058,6
AUT,2022,J,B1G,15865.756,6
AUT,2022,J58,B1G,1558.191,6
AUT,2022,J58T60,B1G,2821.704,6
AUT,2022,J59_60,B1G,1263.513,6
AUT,2022,J61,B1G,3348.079,6
AUT,2022,J62_63,B1G,9695.973,6
AUT,2022,K,B1G,18202.033,6
AUT,2022,K64,B1G,12064.881,6
AUT,2022,K65,B1G,4183.628,6
AUT,2022,K66,B1G,1953.524,6
AUT,2022,L,B1G,36487.112,6
AUT,2022,L68A,B1G,18781.325,6
AUT,2022,M,B1G,22869.784,6
AUT,2022,M69T71,B1G,17757.346,6
AUT,2022,M69_70,B1G,11694.634,6
AUT,2022,M71,B1G,6062.711,6
AUT,2022,M72,B1G,1982.349,6
AUT,2022,M73,B1G,1903.21,6
AUT,2022,M73T75,B1G,3130.089,6
AUT,2022,M74_75,B1G,1226.879,6
AUT,2022,N,B1G,17630.585,6
AUT,2022,N77,B1G,4892.298,6
AUT,2022,N78,B1G,5135.769,6
AUT,2022,N79,B1G,541.357,6
AUT,2022,N80T82,B1G,7061.16,6
AUT,2022,O,B1G,19790.508,6
AUT,2022,P,B1G,20816.481,6
AUT,2022,Q,B1G,31134.92,6
AUT,2022,Q86,B1G,23210.569,6
AUT,2022,Q87_88,B1G,7924.351,6
AUT,2022,R,B1G,4015.086,6
AUT,2022,R90T92,B1G,2585.184,6
AUT,2022,R93,B1G,1429.902,6
AUT,2022,S,B1G,5889.943,6
AUT,2022,S94,B1G,3138.689,6
AUT,2022,S95,B1G,167.901,6
AUT,2022,S96,B1G,2583.353,6
AUT,2022,T,B1G,133.891,6
AUT,2022,_T,B1G,402767.134,6
BEL,2018,A,B1G,3053.9,6
BEL,2018,A01,B1G,2930,6
BEL,2018,A02,B1G,79.2,6
BEL,2018,A03,B1G,44.7,6
BEL,2018,B,B1G,246.6,6
BEL,2018,C,B1G,56719.3,6
BEL,2018,C10T12,B1G,8485.2,6
BEL,2018,C13T15,B1G,1289.6,6
BEL,2018,C16,B1G,953.7,6
BEL,2018,C16T18,B1G,2901,6
BEL,2018,C17,B1G,1045.9,6
BEL,2018,C18,B1G,901.4,6
BEL,2018,C19,B1G,1330.4,6
BEL,2018,C20,B1G,9505.1,6
BEL,2018,C21,B1G,8474.5,6
BEL,2018,C22,B1G,2303,6
BEL,2018,C22_23,B1G,4920,6
BEL,2018,C23,B1G,2617,6
BEL,2018,C24,B1G,3305.7,6
BEL,2018,C24_25,B1G,7256.3,6
BEL,2018,C25,B1G,3950.6,6
BEL,2018,C26,B1G,1446.4,6
BEL,2018,C27,B1G,1120.9,6
BEL,2018,C28,B1G,3513.7,6
BEL,2018,C29,B1G,2392.2,6
BEL,2018,C29_30,B1G,3256.2,6
BEL,2018,C30,B1G,864,6
BEL,2018,C31T33,B1G,3220,6
BEL,2018,C31_32,B1G,1329.6,6
BEL,2018,C33,B1G,1890.4,6
BEL,2018,D,B1G,5202.4,6
BEL,2018,E,B1G,3906.1,6
BEL,2018,E36,B1G,1228.9,6
BEL,2018,E37T39,B1G,2677.2,6
BEL,2018,F,B1G,21064.2,6
BEL,2018,G,B1G,46453.8,6
BEL,2018,G45,B1G,6971.6,6
BEL,2018,G46,B1G,23764.4,6
BEL,2018,G47,B1G,15717.8,6
BEL,2018,H,B1G,23315.7,6
BEL,2018,H49,B1G,8565.5,6
BEL,2018,H50,B1G,934.3,6
BEL,2018,H51,B1G,541,6
