industry,asset,year,value
2110,EO60,2024,521.0
2110,EO71,2023,0.0
2110,EO71,2024,0.0
2110,EO72,2023,12.0
2110,EO72,2024,10.0
2110,EO80,2023,890.0
2110,EO80,2024,854.0
2110,EP12,2023,1.0
2110,EP12,2024,0.0
2110,EP1A,2023,9.0
2110,EP1A,2024,10.0
2110,EP1B,2023,64.0
2110,EP1B,2024,61.0
2110,EP1C,2023,0.0
2110,EP1C,2024,0.0
2110,EP1D,2023,6.0
2110,EP1D,2024,6.0
2110,EP1E,2023,14.0
2110,EP1E,2024,13.0
2110,EP1F,2023,0.0
2110,EP1F,2024,0.0
2110,EP1G,2023,4.0
2110,EP1G,2024,3.0
2110,EP1H,2023,87.0
2110,EP1H,2024,84.0
2110,EP20,2023,234.0
2110,EP20,2024,214.0
2110,EP31,2023,35.0
2110,EP31,2024,30.0
2110,EP34,2023,0.0
2110,EP34,2024,0.0
2110,EP35,2023,0.0
2110,EP35,2024,0.0
2110,EP36,2023,365.0
2110,EP36,2024,324.0
2110,EQ00,2023,56548.0
2110,EQ00,2024,54475.0
2110,ET11,2023,767.0
2110,ET11,2024,720.0
2110,ET12,2023,55.0
2110,ET12,2024,48.0
2110,ET20,2023,223.0
2110,ET20,2024,190.0
2110,ET30,2023,753.0
2110,ET30,2024,699.0
2110,ET40,2023,11118.0
2110,ET40,2024,10949.0
2110,ET50,2023,0.0
2110,ET50,2024,0.0
2110,IP00,2023,34273.0
2110,IP00,2024,37931.0
2110,RD11,2023,0.0
2110,RD11,2024,0.0
2110,RD12,2023,0.0
2110,RD12,2024,0.0
2110,RD21,2023,0.0
2110,RD21,2024,0.0
2110,RD22,2023,0.0
2110,RD22,2024,0.0
2110,RD23,2023,0.0
2110,RD23,2024,0.0
2110,RD24,2023,0.0
2110,RD24,2024,0.0
2110,RD25,2023,0.0
2110,RD25,2024,0.0
2110,RD31,2023,0.0
2110,RD31,2024,0.0
2110,RD32,2023,0.0
2110,RD32,2024,0.0
2110,RD40,2023,0.0
2110,RD40,2024,0.0
2110,RD50,2023,0.0
2110,RD50,2024,0.0
2110,RD60,2023,0.0
2110,RD60,2024,0.0
2110,RD70,2023,0.0
2110,RD70,2024,0.0
2110,RD80,2023,33545.0
2110,RD80,2024,37185.0
2110,RD91,2023,0.0
2110,RD91,2024,0.0
2110,RD92,2023,0.0
2110,RD92,2024,0.0
2110,RDOM,2023,0.0
2110,RDOM,2024,0.0
2110,SB10,2023,0.0
2110,SB10,2024,0.0
2110,SB20,2023,0.0
2110,SB20,2024,0.0
2110,SB31,2023,0.0
2110,SB31,2024,0.0
2110,SB32,2023,0.0
2110,SB32,2024,0.0
2110,SB41,2023,0.0
2110,SB41,2024,0.0
2110,SB42,2023,125.0
2110,SB42,2024,124.0
2110,SB43,2023,0.0
2110,SB43,2024,0.0
2110,SB44,2023,0.0
2110,SB44,2024,0.0
2110,SB45,2023,0.0
2110,SB45,2024,0.0
2110,SB46,2023,0.0
2110,SB46,2024,0.0
2110,SC01,2023,1121.0
2110,SC01,2024,1249.0
2110,SC02,2023,161.0
2110,SC02,2024,163.0
2110,SC03,2023,0.0
2110,SC03,2024,0.0
2110,SC04,2023,0.0
2110,SC04,2024,0.0
2110,SI00,2023,124557.0
2110,SI00,2024,128815.0
2110,SM01,2023,1170615.0
2110,SM01,2024,1161858.0
2110,SM02,2023,31423.0
2110,SM02,2024,32127.0
2110,SN00,2023,0.0
2110,SN00,2024,0.0
2110,SO01,2023,572.0
2110,SO01,2024,601.0
2110,SO02,2023,313.0
2110,SO02,2024,352.0
2110,SO03,2023,1222.0
2110,SO03,2024,1226.0
2110,SO04,2023,1096.0
2110,SO04,2024,1166.0
2110,SOMO,2023,474.0
2110,SOMO,2024,457.0
2110,SOO1,2023,20698.0
2110,SOO1,2024,20743.0
2110,SOO2,2023,0.0
2110,SOO2,2024,0.0
2110,ST00,2023,1452182.0
2110,ST00,2024,1447153.0
2110,SU11,2023,0.0
2110,SU11,2024,0.0
2110,SU12,2023,0.0
2110,SU12,2024,0.0
2110,SU20,2023,0.0
2110,SU20,2024,0.0
2110,SU30,2023,3289.0
2110,SU30,2024,3045.0
2110,SU40,2023,62605.0
2110,SU40,2024,62439.0
2110,SU50,2023,33837.0
2110,SU50,2024,32711.0
2110,SU60,2023,75.0
2110,SU60,2024,75.0
2120,AE10,2023,0.0
2120,AE10,2024,0.0
2120,AE20,2023,0.0
2120,AE20,2024,0.0
2120,AE30,2023,0.0
2120,AE30,2024,0.0
2120,AE40,2023,0.0
2120,AE40,2024,0.0
2120,AE50,2023,0.0
2120,AE50,2024,0.0
2120,EI11,2023,0.0
2120,EI11,2024,0.0
2120,EI12,2023,1130.0
2120,EI12,2024,1153.0
2120,EI21,2023,163.0
2120,EI21,2024,156.0
2120,EI22,2023,23.0
2120,EI22,2024,22.0
2120,EI30,2023,273.0
2120,EI30,2024,247.0
2120,EI40,2023,22.0
2120,EI40,2024,22.0
2120,EI50,2023,8164.0
2120,EI50,2024,8533.0
2120,EI60,2023,1372.0
2120,EI60,2024,1374.0
2120,ENS1,2023,125.0
2120,ENS1,2024,144.0
2120,ENS2,2023,183.0
2120,ENS2,2024,199.0
2120,ENS3,2023,0.0
2120,ENS3,2024,0.0
2120,EO11,2023,0.0
2120,EO11,2024,0.0
2120,EO12,2023,398.0
2120,EO12,2024,358.0
2120,EO21,2023,51.0
2120,EO21,2024,52.0
2120,EO22,2023,1023.0
2120,EO22,2024,998.0
2120,EO30,2023,0.0
2120,EO30,2024,0.0
2120,EO40,2023,13226.0
2120,EO40,2024,13202.0
2120,EO50,2023,23440.0
2120,EO50,2024,24189.0
2120,EO60,2023,315.0
2120,EO60,2024,312.0
2120,EO71,2023,4.0
2120,EO71,2024,5.0
2120,EO72,2023,50.0
2120,EO72,2024,49.0
2120,EO80,2023,1240.0
2120,EO80,2024,1220.0
2120,EP12,2023,0.0
2120,EP12,2024,0.0
2120,EP1A,2023,5.0
