industry,asset,year,value
2110,RD11,2024,0.0
2110,RD12,2023,0.0
2110,RD12,2024,0.0
2110,RD21,2023,0.0
2110,RD21,2024,0.0
2110,RD22,2023,0.0
2110,RD22,2024,0.0
2110,RD23,2023,0.0
2110,RD23,2024,0.0
2110,RD24,2023,0.0
2110,RD24,2024,0.0
2110,RD25,2023,0.0
2110,RD25,2024,0.0
2110,RD31,2023,0.0
2110,RD31,2024,0.0
2110,RD32,2023,0.0
2110,RD32,2024,0.0
2110,RD40,2023,0.0
2110,RD40,2024,0.0
2110,RD50,2023,0.0
2110,RD50,2024,0.0
2110,RD60,2023,0.0
2110,RD60,2024,0.0
2110,RD70,2023,0.0
2110,RD70,2024,0.0
2110,RD80,2023,5472.0
2110,RD80,2024,6107.0
2110,RD91,2023,0.0
2110,RD91,2024,0.0
2110,RD92,2023,0.0
2110,RD92,2024,0.0
2110,RDOM,2023,0.0
2110,RDOM,2024,0.0
2110,SB10,2023,0.0
2110,SB10,2024,0.0
2110,SB20,2023,0.0
2110,SB20,2024,0.0
2110,SB31,2023,0.0
2110,SB31,2024,0.0
2110,SB32,2023,0.0
2110,SB32,2024,0.0
2110,SB41,2023,0.0
2110,SB41,2024,0.0
2110,SB42,2023,4.0
2110,SB42,2024,4.0
2110,SB43,2023,0.0
2110,SB43,2024,0.0
2110,SB44,2023,0.0
2110,SB44,2024,0.0
2110,SB45,2023,0.0
2110,SB45,2024,0.0
2110,SB46,2023,0.0
2110,SB46,2024,0.0
2110,SC01,2023,24.0
2110,SC01,2024,27.0
2110,SC02,2023,4.0
2110,SC02,2024,4.0
2110,SC03,2023,0.0
2110,SC03,2024,0.0
2110,SC04,2023,0.0
2110,SC04,2024,0.0
2110,SI00,2023,3948.0
2110,SI00,2024,4059.0
2110,SM01,2023,88259.0
2110,SM01,2024,87767.0
2110,SM02,2023,1435.0
2110,SM02,2024,1472.0
2110,SN00,2023,0.0
2110,SN00,2024,0.0
2110,SO01,2023,13.0
2110,SO01,2024,13.0
2110,SO02,2023,7.0
2110,SO02,2024,8.0
2110,SO03,2023,29.0
2110,SO03,2024,30.0
2110,SO04,2023,24.0
2110,SO04,2024,26.0
2110,SOMO,2023,28.0
2110,SOMO,2024,27.0
2110,SOO1,2023,540.0
2110,SOO1,2024,547.0
2110,SOO2,2023,0.0
2110,SOO2,2024,0.0
2110,ST00,2023,96730.0
2110,ST00,2024,96362.0
2110,SU11,2023,0.0
2110,SU11,2024,0.0
2110,SU12,2023,0.0
2110,SU12,2024,0.0
2110,SU20,2023,0.0
2110,SU20,2024,0.0
2110,SU30,2023,69.0
2110,SU30,2024,65.0
2110,SU40,2023,1512.0
2110,SU40,2024,1509.0
2110,SU50,2023,832.0
2110,SU50,2024,803.0
2110,SU60,2023,2.0
2110,SU60,2024,2.0
2120,AE10,2023,0.0
2120,AE10,2024,0.0
2120,AE20,2023,0.0
2120,AE20,2024,0.0
2120,AE30,2023,0.0
2120,AE30,2024,0.0
2120,AE40,2023,0.0
2120,AE40,2024,0.0
2120,AE50,2023,0.0
2120,AE50,2024,0.0
2120,EI11,2023,0.0
2120,EI11,2024,0.0
2120,EI12,2023,111.0
2120,EI12,2024,111.0
2120,EI21,2023,9.0
2120,EI21,2024,8.0
2120,EI22,2023,5.0
2120,EI22,2024,5.0
2120,EI30,2023,38.0
2120,EI30,2024,34.0
2120,EI40,2023,2.0
2120,EI40,2024,2.0
2120,EI50,2023,907.0
2120,EI50,2024,952.0
2120,EI60,2023,70.0
2120,EI60,2024,71.0
2120,ENS1,2023,90.0
2120,ENS1,2024,102.0
2120,ENS2,2023,70.0
2120,ENS2,2024,75.0
2120,ENS3,2023,0.0
2120,ENS3,2024,0.0
2120,EO11,2023,0.0
2120,EO11,2024,0.0
2120,EO12,2023,53.0
2120,EO12,2024,47.0
2120,EO21,2023,8.0
2120,EO21,2024,8.0
2120,EO22,2023,185.0
2120,EO22,2024,181.0
2120,EO30,2023,0.0
2120,EO30,2024,0.0
2120,EO40,2023,2179.0
2120,EO40,2024,2213.0
2120,EO50,2023,3684.0
2120,EO50,2024,3891.0
2120,EO60,2023,51.0
2120,EO60,2024,51.0
2120,EO71,2023,1.0
2120,EO71,2024,1.0
2120,EO72,2023,10.0
2120,EO72,2024,10.0
2120,EO80,2023,201.0
2120,EO80,2024,197.0
2120,EP12,2023,0.0
2120,EP12,2024,0.0
2120,EP1A,2023,2.0
2120,EP1A,2024,2.0
2120,EP1B,2023,20.0
2120,EP1B,2024,19.0
2120,EP1C,2023,0.0
2120,EP1C,2024,0.0
2120,EP1D,2023,2.0
2120,EP1D,2024,2.0
2120,EP1E,2023,3.0
2120,EP1E,2024,3.0
2120,EP1F,2023,0.0
2120,EP1F,2024,0.0
2120,EP1G,2023,1.0
2120,EP1G,2024,1.0
2120,EP1H,2023,21.0
2120,EP1H,2024,21.0
2120,EP20,2023,42.0
2120,EP20,2024,44.0
2120,EP31,2023,2.0
2120,EP31,2024,2.0
2120,EP34,2023,0.0
2120,EP34,2024,0.0
2120,EP35,2023,1.0
2120,EP35,2024,1.0
2120,EP36,2023,55.0
2120,EP36,2024,53.0
2120,EQ00,2023,8310.0
2120,EQ00,2024,8600.0
2120,ET11,2023,270.0
2120,ET11,2024,282.0
2120,ET12,2023,255.0
2120,ET12,2024,266.0
2120,ET20,2023,35.0
2120,ET20,2024,32.0
2120,ET30,2023,11.0
2120,ET30,2024,12.0
2120,ET40,2023,52.0
2120,ET40,2024,56.0
2120,ET50,2023,24.0
2120,ET50,2024,24.0
2120,IP00,2023,961.0
2120,IP00,2024,1098.0
2120,RD11,2023,0.0
2120,RD11,2024,0.0
2120,RD12,2023,0.0
2120,RD12,2024,0.0
2120,RD21,2023,0.0
2120,RD21,2024,0.0
2120,RD22,2023,0.0
2120,RD22,2024,0.0
2120,RD23,2023,0.0
2120,RD23,2024,0.0
2120,RD24,2023,0.0
2120,RD24,2024,0.0
2120,RD25,2023,0.0
2120,RD25,2024,0.0
2120,RD31,2023,0.0
2120,RD31,2024,0.0
2120,RD32,2023,0.0
2120,RD32,2024,0.0
2120,RD40,2023,0.0
2120,RD40,2024,0.0
2120,RD50,2023,0.0
2120,RD50,2024,0.0
2120,RD60,2023,0.0
2120,RD60,2024,0.0
2120,RD70,2023,0.0
2120,RD70,2024,0.0
2120,RD80,2023,802.0
2120,RD80,2024,921.0
2120,RD91,2023,0.0
2120,RD91,2024,0.0
2120,RD92,2023,0.0
2120,RD92,2024,0.0
2120,RDOM,2023,0.0
2120,RDOM,2024,0.0
2120,SB10,2023,0.0
2120,SB10,2024,0.0
2120,SB20,2023,0.0
2120,SB20,2024,0.0
2120,SB31,2023,0.0
2120,SB31,2024,0.0
2120,SB32,2023,0.0
2120,SB32,2024,0.0
2120,SB41,2023,0.0
2120,SB41,2024,0.0
2120,SB42,2023,0.0
2120,SB42,2024,0.0
2120,SB43,2023,4.0
2120,SB43,2024,6.0
2120,SB44,2023,0.0
2120,SB44,2024,0.0
2120,SB45,2023,0.0
2120,SB45,2024,0.0
2120,SB46,2023,1.0
2120,SB46,2024,2.0
2120,SC01,2023,40.0
2120,SC01,2024,45.0
2120,SC02,2023,10.0
2120,SC02,2024,11.0
2120,SC03,2023,0.0
2120,SC03,2024,0.0
2120,SC04,2023,0.0
2120,SC04,2024,0.0
2120,SI00,2023,1867.0
2120,SI00,2024,2015.0
2120,SM01,2023,12.0
2120,SM01,2024,13.0
2120,SM02,2023,7774.0
2120,SM02,2024,8150.0
2120,SN00,2023,0.0
2120,SN00,2024,0.0
2120,SO01,2023,38.0
2120,SO01,2024,37.0
2120,SO02,2023,5.0
2120,SO02,2024,5.0
2120,SO03,2023,60.0
2120,SO03,2024,65.0
2120,SO04,2023,26.0
2120,SO04,2024,27.0
2120,SOMO,2023,36.0
2120,SOMO,2024,35.0
2120,SOO1,2023,103.0
2120,SOO1,2024,104.0
2120,SOO2,2023,0.0
2120,SOO2,2024,0.0
2120,ST00,2023,10052.0
2120,ST00,2024,10587.0
2120,SU11,2023,0.0
2120,SU11,2024,0.0
2120,SU12,2023,1.0
2120,SU12,2024,1.0
2120,SU20,2023,0.0
2120,SU20,2024,0.0
2120,SU30,2023,23.0
2120,SU30,2024,22.0
2120,SU40,2023,37.0
2120,SU40,2024,35.0
2120,SU50,2023,16.0
2120,SU50,2024,15.0
2120,SU60,2023,0.0
2120,SU60,2024,0.0
2130,AE10,2023,0.0
2130,AE10,2024,0.0
2130,AE20,2023,0.0
2130,AE20,2024,0.0
2130,AE30,2023,0.0
2130,AE30,2024,0.0
2130,AE40,2023,0.0
2130,AE40,2024,0.0
2130,AE50,2023,0.0
2130,AE50,2024,0.0
2130,EI11,2023,0.0
2130,EI11,2024,0.0
2130,EI12,2023,74.0
2130,EI12,2024,70.0
2130,EI21,2023,0.0
2130,EI21,2024,0.0
2130,EI22,2023,84.0
2130,EI22,2024,90.0
2130,EI30,2023,16.0
2130,EI30,2024,15.0
2130,EI40,2023,0.0
2130,EI40,2024,0.0
2130,EI50,2023,351.0
2130,EI50,2024,330.0
2130,EI60,2023,322.0
2130,EI60,2024,340.0
2130,ENS1,2023,230.0
2130,ENS1,2024,270.0
2130,ENS2,2023,191.0
2130,ENS2,2024,205.0
2130,ENS3,2023,35.0
2130,ENS3,2024,37.0
2130,EO11,2023,0.0
2130,EO11,2024,0.0
2130,EO12,2023,69.0
2130,EO12,2024,64.0
2130,EO21,2023,0.0
2130,EO21,2024,0.0
2130,EO22,2023,37.0
2130,EO22,2024,36.0
2130,EO30,2023,0.0
2130,EO30,2024,0.0
2130,EO40,2023,445.0
2130,EO40,2024,446.0
2130,EO50,2023,6229.0
2130,EO50,2024,6241.0
2130,EO60,2023,280.0
2130,EO60,2024,292.0
2130,EO71,2023,0.0
2130,EO71,2024,0.0
2130,EO72,2023,1.0
2130,EO72,2024,1.0
2130,EO80,2023,356.0
2130,EO80,2024,362.0
2130,EP12,2023,2.0
2130,EP12,2024,2.0
2130,EP1A,2023,4.0
2130,EP1A,2024,4.0
2130,EP1B,2023,35.0
2130,EP1B,2024,34.0
2130,EP1C,2023,0.0
