iso3,year,source,catalog,mean_size,size_1,size_2_3,size_4_5,size_6_plus,one_person,couple_only,couple_children,single_parent,extended,non_relatives,unknown,multi_generation,three_generation
IRL,1996,IPUMS,1607,3.15,21.28,39.03,29.01,10.68,21.28,13.78,41.01,9.64,9.34,4.95,0.00,,
IRL,2002,IPUMS,1542,3.09,19.85,41.73,29.54,8.89,19.85,15.45,38.23,9.23,10.17,7.08,0.00,,
IRL,2006,IPUMS,1098,2.92,20.67,45.14,27.66,6.53,20.67,17.61,35.53,9.65,8.36,7.68,0.52,22.59,2.31
IRL,2011,IPUMS,4827,2.81,22.19,46.23,26.32,5.26,22.19,18.54,34.91,10.10,7.64,6.61,0.00,21.22,2.13
IRL,2016,IPUMS,7080,2.83,22.02,45.38,27.39,5.20,22.02,18.26,33.75,9.74,4.58,10.39,1.25,,
IRL,2022,DYB,7317,2.74,23.14,46.83,25.79,4.24,23.14,19.24,33.67,9.91,,,14.04,,
IRN,1996,DYB,1197,4.76,4.42,27.28,34.34,33.96,4.42,,,,,,,,
IRN,2006,IPUMS,1097,4.05,4.80,37.04,39.62,18.55,4.80,12.12,66.17,5.29,10.14,0.12,1.37,33.03,5.49
IRN,2011,IPUMS,4786,3.49,7.20,45.58,38.74,8.48,7.20,14.65,64.70,7.00,6.17,0.10,0.18,30.91,3.03
IRN,2016,DYB,7201,,8.48,49.13,37.86,4.53,8.48,,,,,,,,
IRQ,1997,IPUMS,251,7.70,1.23,10.21,20.83,67.74,1.23,2.66,50.46,5.45,36.68,0.36,3.17,47.94,23.71
IRQ,2000,MICS,4439,7.22,1.15,11.09,21.69,66.06,1.15,,,,,,,,
IRQ,2006,MICS,151,6.31,1.33,16.42,25.56,56.69,1.33,5.21,60.68,5.95,26.62,0.22,0.00,42.70,16.92
IRQ,2011,MICS,5334,6.46,1.17,13.53,28.52,56.77,1.17,4.14,58.22,5.09,31.24,0.12,0.01,44.82,22.07
IRQ,2018,MICS,5586,6.35,1.01,12.70,28.81,57.48,1.01,3.39,59.16,4.34,31.91,0.19,0.00,45.23,22.81
ISL,2021,DYB,7316,2.65,29.16,43.00,23.14,4.70,29.16,17.59,27.61,8.44,,,17.20,,
ISR,1972,IPUMS,249,3.80,12.36,39.76,30.33,17.55,12.36,17.98,54.63,4.88,8.80,0.72,0.63,24.10,4.73
ISR,1983,IPUMS,1079,3.46,17.53,37.34,31.51,13.62,17.53,18.38,52.49,5.54,4.27,0.94,0.85,23.16,2.18
ISR,1995,IPUMS,1504,3.35,19.66,36.71,30.74,12.90,19.66,15.96,45.97,6.82,6.25,0.88,4.47,22.51,3.22
ISR,2009,DYB,2397,3.14,21.01,39.99,28.29,10.70,21.01,18.40,46.15,8.49,,,5.95,,
ISR,2009,IPUMS,2397,3.15,21.09,39.86,28.42,10.62,21.09,,,,,,,,
ISR,2022,DYB,7202,3.03,23.80,40.02,26.21,9.97,23.80,18.92,42.50,9.83,,,4.97,,
ITA,2001,DYB,1428,2.59,24.89,48.65,24.77,1.69,24.89,20.77,41.54,8.90,,,3.90,,
ITA,2001,IPUMS,1428,2.59,24.97,48.68,24.72,1.64,24.97,19.46,39.73,8.02,7.23,0.59,0.00,29.77,3.08
ITA,2011,DYB,4828,2.40,31.15,46.96,20.47,1.42,31.15,20.19,34.67,9.91,,,4.07,,
ITA,2011,IPUMS,4828,2.40,30.91,47.06,20.48,1.55,30.91,18.85,33.76,9.41,6.28,0.78,0.00,26.23,2.56
ITA,2021,DYB,7319,2.24,36.77,45.03,16.99,1.21,36.77,17.78,26.81,11.20,,,7.44,,
JAM,1982,IPUMS,948,4.23,19.19,28.96,23.45,28.40,19.19,5.75,16.54,9.74,29.72,9.90,9.17,23.14,15.84
JAM,1991,IPUMS,1184,3.87,19.75,31.08,26.48,22.70,19.75,6.67,20.15,11.68,32.53,7.78,1.44,25.76,16.26
JAM,2001,IPUMS,53,3.45,23.30,34.96,25.40,16.34,23.30,7.19,21.55,14.02,28.22,5.72,0.00,24.33,14.08
JAM,2005,MICS,122,3.29,26.07,33.63,25.29,15.01,26.07,7.19,21.18,14.54,27.77,3.07,0.18,27.63,14.09
JAM,2011,DYB,4750,3.06,28.17,,,,28.17,7.21,18.67,16.20,,,29.75,,
JAM,2011,MICS,5005,3.18,25.24,37.24,25.33,12.18,25.24,8.07,19.66,15.34,27.70,3.98,0.01,28.38,14.00
JAM,2022,MICS,7817,2.95,26.55,41.80,22.34,9.31,26.55,8.50,14.67,16.69,30.46,3.13,0.00,34.02,15.69
JOR,1997,DHS,1724,5.99,4.68,17.69,25.69,51.94,4.68,5.30,60.83,5.89,18.94,4.32,0.05,37.66,10.26
JOR,2002,DHS,1725,5.68,4.54,19.27,27.20,48.99,4.54,5.75,62.39,7.34,17.55,2.43,0.00,38.76,9.99
JOR,2004,IPUMS,1502,5.37,4.67,21.54,28.87,44.92,4.67,7.74,65.93,6.59,11.09,3.98,0.00,33.88,5.46
JOR,2007,DHS,2407,5.27,5.28,20.53,29.24,44.95,5.28,6.70,67.12,6.50,10.39,4.01,0.00,35.85,5.69
JOR,2009,DHS,4698,5.09,4.60,22.24,31.31,41.84,4.60,6.93,66.76,7.36,9.74,4.60,0.00,34.49,5.20
JOR,2012,DHS,5339,5.07,4.35,23.01,31.46,41.18,4.35,7.45,67.76,8.06,8.68,3.70,0.00,38.23,5.30
JOR,2015,DYB,4789,,6.03,25.65,33.17,35.15,6.03,,,,,,,,
JOR,2017,DHS,7364,4.72,4.36,25.76,34.91,34.97,4.36,8.45,67.52,7.64,9.94,2.08,0.02,39.36,5.43
JOR,2023,DHS,9210,4.76,4.43,22.92,37.06,35.59,4.43,6.78,69.77,9.04,8.34,1.63,0.00,40.63,4.70
JPN,2000,DYB,1490,2.67,27.60,43.94,23.71,4.76,27.60,18.89,31.89,7.65,,,13.98,,
JPN,2005,DYB,1482,2.55,29.47,45.29,21.51,3.73,29.47,19.64,29.85,8.38,,,12.66,,
JPN,2010,DYB,4788,2.42,32.38,45.42,19.35,2.85,32.38,19.76,27.85,8.72,,,11.29,,
JPN,2015,DYB,7042,2.33,34.53,45.45,17.76,2.25,34.53,20.10,26.79,8.90,,,9.67,,
JPN,2020,DYB,7113,2.21,37.97,44.67,15.72,1.64,37.97,20.03,25.04,8.98,,,7.98,,
KAZ,1995,DHS,1826,3.81,11.63,36.09,34.19,18.10,11.63,11.05,40.10,8.95,26.43,1.84,0.00,31.88,16.84
KAZ,1999,DHS,1669,3.61,13.14,38.74,32.64,15.47,13.14,12.93,42.23,10.12,20.82,0.73,0.02,29.71,14.56
KAZ,2006,MICS,1882,3.52,13.01,40.96,32.43,13.61,13.01,11.60,39.10,11.63,24.38,0.27,0.00,37.45,17.07
KAZ,2009,DYB,2406,3.50,14.57,38.32,30.97,16.14,14.57,8.60,32.41,11.86,,,32.56,,
KAZ,2010,MICS,5006,3.45,15.75,40.49,29.79,13.98,15.75,11.78,36.28,10.14,25.21,0.84,0.00,37.53,17.34
KAZ,2015,MICS,5666,3.44,15.53,41.39,28.08,15.01,15.53,13.69,33.23,9.63,27.18,0.73,0.01,37.71,19.07
KAZ,2021,DYB,7203,,15.39,43.18,27.36,14.06,15.39,11.68,27.92,13.88,,,31.12,,
KAZ,2024,MICS,7606,3.03,23.64,42.15,22.40,11.82,23.64,17.13,30.00,8.80,19.61,0.83,0.00,27.86,12.18
