iso3,year,activity,size,measure,value
SWE,2018,B08,S1T9,EMPN,601
SWE,2018,B08,S1T9,ENTR,407
SWE,2018,B08,S50T249,EMPN,665
SWE,2018,B08,S50T249,ENTR,7
SWE,2018,B08,S_GE250,EMPN,0
SWE,2018,B08,S_GE250,ENTR,0
SWE,2018,B08,_T,EMPN,2043
SWE,2018,B08,_T,ENTR,448
SWE,2018,B09,S10T49,ENTR,2
SWE,2018,B09,S1T9,EMPN,103
SWE,2018,B09,S1T9,ENTR,116
SWE,2018,B09,S50T249,EMPN,0
SWE,2018,B09,S50T249,ENTR,1
SWE,2018,B09,S_GE250,EMPN,0
SWE,2018,B09,S_GE250,ENTR,0
SWE,2018,B09,_T,EMPN,0
SWE,2018,B09,_T,ENTR,119
SWE,2018,C,S10T49,EMPN,85033
SWE,2018,C,S10T49,ENTR,4139
SWE,2018,C,S1T9,EMPN,48950
SWE,2018,C,S1T9,ENTR,41629
SWE,2018,C,S50T249,EMPN,122598
SWE,2018,C,S50T249,ENTR,1139
SWE,2018,C,S_GE250,EMPN,387828
SWE,2018,C,S_GE250,ENTR,390
SWE,2018,C,_T,EMPN,644408
SWE,2018,C,_T,ENTR,47297
SWE,2018,C10,S10T49,EMPN,10130
SWE,2018,C10,S10T49,ENTR,500
SWE,2018,C10,S1T9,EMPN,4713
SWE,2018,C10,S1T9,ENTR,2838
SWE,2018,C10,S50T249,EMPN,10780
SWE,2018,C10,S50T249,ENTR,99
SWE,2018,C10,S_GE250,EMPN,32377
SWE,2018,C10,S_GE250,ENTR,43
SWE,2018,C10,_T,EMPN,58000
SWE,2018,C10,_T,ENTR,3480
SWE,2018,C11,S10T49,EMPN,458
SWE,2018,C11,S10T49,ENTR,24
SWE,2018,C11,S1T9,EMPN,426
SWE,2018,C11,S1T9,ENTR,537
SWE,2018,C11,S50T249,EMPN,511
SWE,2018,C11,S50T249,ENTR,5
SWE,2018,C11,S_GE250,EMPN,4962
SWE,2018,C11,S_GE250,ENTR,6
SWE,2018,C11,_T,EMPN,6357
SWE,2018,C11,_T,ENTR,572
SWE,2018,C12,S10T49,ENTR,1
SWE,2018,C12,S1T9,EMPN,9
SWE,2018,C12,S1T9,ENTR,15
SWE,2018,C12,S50T249,EMPN,0
SWE,2018,C12,S50T249,ENTR,2
SWE,2018,C12,S_GE250,EMPN,0
SWE,2018,C12,S_GE250,ENTR,3
SWE,2018,C12,_T,EMPN,0
SWE,2018,C12,_T,ENTR,21
SWE,2018,C13,S10T49,ENTR,70
SWE,2018,C13,S1T9,EMPN,1187
SWE,2018,C13,S1T9,ENTR,1871
SWE,2018,C13,S50T249,EMPN,2124
SWE,2018,C13,S50T249,ENTR,19
SWE,2018,C13,S_GE250,EMPN,0
SWE,2018,C13,S_GE250,ENTR,1
SWE,2018,C13,_T,EMPN,5117
SWE,2018,C13,_T,ENTR,1961
SWE,2018,C14,S10T49,ENTR,13
SWE,2018,C14,S1T9,EMPN,692
SWE,2018,C14,S1T9,ENTR,1899
SWE,2018,C14,S50T249,EMPN,0
SWE,2018,C14,S50T249,ENTR,3
SWE,2018,C14,S_GE250,EMPN,0
SWE,2018,C14,S_GE250,ENTR,0
SWE,2018,C14,_T,EMPN,1411
SWE,2018,C14,_T,ENTR,1915
SWE,2018,C15,S10T49,ENTR,12
