iso3,sex,age,level,percent
AGO,F,60,2,5.44
AGO,F,60,3,1.72
AGO,F,60,4,1.68
AGO,F,60,5,0.00
AGO,F,60,6,0.00
AGO,F,60,7,0.00
AGO,F,65,0,85.61
AGO,F,65,1,8.31
AGO,F,65,2,3.51
AGO,F,65,3,1.25
AGO,F,65,4,1.21
AGO,F,65,5,0.00
AGO,F,65,6,0.00
AGO,F,65,7,0.00
AGO,F,70,0,88.36
AGO,F,70,1,6.95
AGO,F,70,2,2.84
AGO,F,70,3,0.86
AGO,F,70,4,0.90
AGO,F,70,5,0.00
AGO,F,70,6,0.00
AGO,F,70,7,0.00
AGO,F,75,0,90.47
AGO,F,75,1,5.98
AGO,F,75,2,2.28
AGO,F,75,3,0.63
AGO,F,75,4,0.58
AGO,F,75,5,0.00
AGO,F,75,6,0.00
AGO,F,75,7,0.00
AGO,F,80,0,91.31
AGO,F,80,1,5.13
AGO,F,80,2,2.13
AGO,F,80,3,0.73
AGO,F,80,4,0.65
AGO,F,80,5,0.00
AGO,F,80,6,0.00
AGO,F,80,7,0.00
AGO,F,85,0,93.23
AGO,F,85,1,4.16
AGO,F,85,2,1.60
AGO,F,85,3,0.52
AGO,F,85,4,0.46
AGO,F,85,5,0.00
AGO,F,85,6,0.00
AGO,F,85,7,0.00
AGO,F,90,0,94.62
AGO,F,90,1,3.40
AGO,F,90,2,1.23
AGO,F,90,3,0.38
AGO,F,90,4,0.33
AGO,F,90,5,0.00
AGO,F,90,6,0.00
AGO,F,90,7,0.00
AGO,F,95,0,95.63
AGO,F,95,1,2.80
AGO,F,95,2,0.98
AGO,F,95,3,0.31
AGO,F,95,4,0.26
AGO,F,95,5,0.00
AGO,F,95,6,0.00
AGO,F,95,7,0.00
AGO,F,100,0,96.48
AGO,F,100,1,2.30
AGO,F,100,2,0.78
AGO,F,100,3,0.24
AGO,F,100,4,0.20
AGO,F,100,5,0.00
AGO,F,100,6,0.00
AGO,F,100,7,0.00
AGO,M,15,0,9.96
AGO,M,15,1,4.14
AGO,M,15,2,71.35
AGO,M,15,3,13.62
AGO,M,15,4,0.93
AGO,M,15,5,0.00
AGO,M,15,6,0.00
AGO,M,15,7,0.00
AGO,M,20,0,14.66
AGO,M,20,1,5.67
AGO,M,20,2,31.49
AGO,M,20,3,38.78
AGO,M,20,4,9.37
AGO,M,20,5,0.00
AGO,M,20,6,0.00
AGO,M,20,7,0.00
AGO,M,25,0,20.88
AGO,M,25,1,1.74
AGO,M,25,2,35.36
AGO,M,25,3,20.77
AGO,M,25,4,20.43
AGO,M,25,5,0.00
AGO,M,25,6,0.00
AGO,M,25,7,0.00
AGO,M,30,0,28.56
AGO,M,30,1,10.20
AGO,M,30,2,33.27
AGO,M,30,3,14.39
AGO,M,30,4,12.43
AGO,M,30,5,0.00
AGO,M,30,6,0.00
AGO,M,30,7,0.00
AGO,M,35,0,35.19
AGO,M,35,1,16.55
AGO,M,35,2,28.19
AGO,M,35,3,10.31
AGO,M,35,4,8.97
AGO,M,35,5,0.00
AGO,M,35,6,0.00
AGO,M,35,7,0.00
AGO,M,40,0,34.73
AGO,M,40,1,16.75
AGO,M,40,2,29.94
AGO,M,40,3,9.62
AGO,M,40,4,8.22
AGO,M,40,5,0.00
AGO,M,40,6,0.00
AGO,M,40,7,0.00
AGO,M,45,0,32.40
AGO,M,45,1,17.24
AGO,M,45,2,31.86
AGO,M,45,3,10.06
AGO,M,45,4,7.66
AGO,M,45,5,0.00
AGO,M,45,6,0.00
AGO,M,45,7,0.00
AGO,M,50,0,27.39
AGO,M,50,1,16.89
AGO,M,50,2,36.32
AGO,M,50,3,10.88
AGO,M,50,4,7.78
AGO,M,50,5,0.00
AGO,M,50,6,0.00
AGO,M,50,7,0.00
AGO,M,55,0,29.99
AGO,M,55,1,18.33
AGO,M,55,2,34.45
AGO,M,55,3,9.76
AGO,M,55,4,6.83
AGO,M,55,5,0.00
AGO,M,55,6,0.00
AGO,M,55,7,0.00
AGO,M,60,0,34.05
AGO,M,60,1,21.06
AGO,M,60,2,30.61
AGO,M,60,3,8.24
AGO,M,60,4,5.56
AGO,M,60,5,0.00
AGO,M,60,6,0.00
AGO,M,60,7,0.00
AGO,M,65,0,43.95
AGO,M,65,1,22.55
AGO,M,65,2,23.27
AGO,M,65,3,6.02
