iso3,row,product,value
ARG,CPA_C13-15,CPA_E37-39,47.702
ARG,CPA_C13-15,CPA_F,175.194
ARG,CPA_C13-15,CPA_G45,82.231
ARG,CPA_C13-15,CPA_G46,292.472
ARG,CPA_C13-15,CPA_G47,153.905
ARG,CPA_C13-15,CPA_H49,6.963
ARG,CPA_C13-15,CPA_H50,0.000
ARG,CPA_C13-15,CPA_H51,9.162
ARG,CPA_C13-15,CPA_H52,41.410
ARG,CPA_C13-15,CPA_H53,3.484
ARG,CPA_C13-15,CPA_I,182.914
ARG,CPA_C13-15,CPA_J58,23.556
ARG,CPA_C13-15,CPA_J59_60,1.306
ARG,CPA_C13-15,CPA_J61,1.080
ARG,CPA_C13-15,CPA_J62_63,0.405
ARG,CPA_C13-15,CPA_K64,13.423
ARG,CPA_C13-15,CPA_K65,11.482
ARG,CPA_C13-15,CPA_K66,0.171
ARG,CPA_C13-15,CPA_L,53.872
ARG,CPA_C13-15,CPA_M69_70,25.881
ARG,CPA_C13-15,CPA_M71,24.498
ARG,CPA_C13-15,CPA_M72,12.240
ARG,CPA_C13-15,CPA_M73,10.496
ARG,CPA_C13-15,CPA_M74_75,5.976
ARG,CPA_C13-15,CPA_N77,7.176
ARG,CPA_C13-15,CPA_N78,1.951
ARG,CPA_C13-15,CPA_N79,23.037
ARG,CPA_C13-15,CPA_N80-82,18.949
ARG,CPA_C13-15,CPA_O84,232.257
ARG,CPA_C13-15,CPA_P85,125.887
ARG,CPA_C13-15,CPA_Q86,250.395
ARG,CPA_C13-15,CPA_Q87_88,10.760
ARG,CPA_C13-15,CPA_R90-92,0.272
ARG,CPA_C13-15,CPA_R93,1.967
ARG,CPA_C13-15,CPA_S94,33.320
ARG,CPA_C13-15,CPA_S95,127.561
ARG,CPA_C13-15,CPA_S96,15.814
ARG,CPA_C13-15,CPA_T,0.000
ARG,CPA_C13-15,CPA_U,0.000
ARG,CPA_C16,CPA_A01,55.090
ARG,CPA_C16,CPA_A02,16.446
ARG,CPA_C16,CPA_A03,0.618
ARG,CPA_C16,CPA_B,0.770
ARG,CPA_C16,CPA_C10-12,116.307
ARG,CPA_C16,CPA_C13-15,7.249
ARG,CPA_C16,CPA_C16,511.545
ARG,CPA_C16,CPA_C17,7.013
ARG,CPA_C16,CPA_C18,5.459
ARG,CPA_C16,CPA_C19,2.780
ARG,CPA_C16,CPA_C20,34.215
ARG,CPA_C16,CPA_C21,9.156
