iso3,heading,value
GAB,1501300,89.484849
GAB,9080000,60.734748
GAB,9120000,37.856525
GAB,9140000,54.184088
GBR,1000000,140.547059
GBR,1101000,110.671050
GBR,1101100,109.102684
GBR,1103000,115.382813
GBR,1105000,117.299868
GBR,1107300,331.579008
GBR,1111000,131.442169
GBR,1501100,95.216628
GBR,1501200,155.278185
GBR,1501300,94.395140
GBR,9080000,162.106524
GBR,9120000,170.606673
GBR,9140000,131.694361
GEO,1000000,42.519744
GEO,1101000,81.018617
GEO,1101100,81.758988
GEO,1103000,89.826184
GEO,1105000,71.457945
GEO,1107300,67.059655
GEO,1111000,51.129826
GEO,1501100,94.849677
GEO,1501200,37.984873
GEO,1501300,51.150814
GEO,9080000,28.454152
GEO,9120000,11.869579
GEO,9140000,44.311242
GHA,1000000,58.645669
GHA,1101000,111.489265
GHA,1101100,111.310569
GHA,1103000,50.150056
GHA,1105000,48.855079
GHA,1107300,129.566612
GHA,1111000,48.289340
GHA,1501100,78.623681
GHA,1501200,68.154887
GHA,1501300,74.924429
GHA,9080000,31.734726
GHA,9120000,39.168535
GHA,9140000,42.840289
GIN,1000000,50.626329
GIN,1101000,94.958056
GIN,1101100,94.912003
GIN,1103000,38.242230
GIN,1105000,44.702560
GIN,1107300,47.978958
GIN,1111000,31.726989
GIN,1501100,119.330116
GIN,1501200,70.413193
GIN,1501300,100.978953
GIN,9080000,35.836084
GIN,9120000,27.756592
GIN,9140000,38.065922
GMB,1000000,45.371239
GMB,1101000,81.038137
GMB,1101100,80.661874
GMB,1103000,35.213100
GMB,1105000,39.729525
GMB,1107300,40.653380
GMB,1111000,45.749892
GMB,1501100,108.890770
GMB,1501200,66.117825
GMB,1501300,98.688943
GMB,9080000,28.306143
GMB,9120000,25.774832
GMB,9140000,37.751196
GNB,1000000,58.211036
GNB,1101000,101.054806
GNB,1101100,100.215376
GNB,1103000,67.622406
GNB,1105000,53.154092
GNB,1107300,70.863202
GNB,1111000,57.884057
GNB,1501100,116.130633
GNB,1501200,58.910985
GNB,1501300,103.925706
GNB,9080000,41.968778
GNB,9120000,26.260198
GNB,9140000,53.897231
GNQ,1000000,65.426515
GNQ,1101000,133.872341
GNQ,1101100,134.058135
GNQ,1103000,108.517989
GNQ,1105000,81.926793
GNQ,1107300,97.308110
GNQ,1111000,71.854857
GNQ,1501100,98.185929
GNQ,1501200,80.642786
GNQ,1501300,89.914428
GNQ,9080000,45.046845
GNQ,9120000,24.762282
GNQ,9140000,61.456871
GRC,1000000,97.467880
GRC,1101000,124.602786
GRC,1101100,124.871877
GRC,1103000,123.229302
GRC,1105000,105.532403
GRC,1107300,156.327654
GRC,1111000,116.717864
GRC,1501100,91.155103
GRC,1501200,94.498902
GRC,1501300,81.537579
GRC,9080000,88.296877
GRC,9120000,66.970493
GRC,9140000,91.455665
GRD,1000000,100.785036
GRD,1101000,166.371102
GRD,1101100,162.872014
GRD,1103000,101.143753
GRD,1105000,125.840294
GRD,1107300,211.680600
GRD,1111000,92.479808
GRD,1501100,118.670221
GRD,1501200,122.508680
GRD,1501300,113.851771
GRD,9080000,74.158265
GRD,9120000,60.015122
GRD,9140000,93.703681
GRL,1000000,132.924420
GTM,1000000,65.703205
GTM,1101000,91.919406
GTM,1101100,92.390761
GTM,1103000,78.088846
GTM,1105000,54.884998
GTM,1107300,79.438752
GTM,1111000,41.270258
GTM,1501100,71.171119
GTM,1501200,55.469938
GTM,1501300,68.172402
GTM,9080000,58.414802
GTM,9120000,50.006413
GTM,9140000,60.245575
GUY,1000000,68.252207
GUY,1101000,127.487113
GUY,1101100,127.450021
GUY,1103000,77.967407
GUY,1105000,97.235404
GUY,1107300,100.126613
GUY,1111000,61.437903
GUY,1501100,128.953371
GUY,1501200,61.571345
GUY,1501300,123.147003
GUY,9080000,56.301289
GUY,9120000,42.067333
GUY,9140000,70.753009
HKG,1000000,119.687838
HKG,1101000,168.491675
HKG,1101100,171.185887
HKG,1103000,99.429296
HKG,1105000,115.556499
HKG,1107300,136.157284
HKG,1111000,92.626515
HKG,1501100,104.866536
HKG,1501200,141.845346
HKG,1501300,94.667558
HKG,9080000,137.110972
HKG,9120000,159.874524
HKG,9140000,100.303209
HND,1000000,69.646570
HND,1101000,94.036382
HND,1101100,94.319794
HND,1103000,107.538527
HND,1105000,81.651255
HND,1107300,79.877385
HND,1111000,78.260809
HND,1501100,112.455487
HND,1501200,53.525195
HND,1501300,104.591437
HND,9080000,65.911747
HND,9120000,52.693940
HND,9140000,69.023463
HRV,1000000,76.360036
HRV,1101000,114.026608
HRV,1101100,112.034717
HRV,1103000,120.560998
HRV,1105000,102.771657
HRV,1107300,180.393823
HRV,1111000,104.931575
HRV,1501100,86.685782
HRV,1501200,70.091279
HRV,1501300,68.679007
HRV,9080000,55.217648
HRV,9120000,61.784344
HRV,9140000,74.140444
HTI,1000000,84.352947
HUN,1000000,76.895971
HUN,1101000,99.929160
HUN,1101100,101.011871
HUN,1103000,114.694215
HUN,1105000,93.535524
HUN,1107300,137.086385
HUN,1111000,82.037451
HUN,1501100,84.023120
HUN,1501200,89.655396
HUN,1501300,74.531490
HUN,9080000,44.883811
HUN,9120000,68.245281
HUN,9140000,64.623904
IDN,1000000,53.250713
IDN,1101000,89.043942
IDN,1101100,89.457056
IDN,1103000,70.017614
IDN,1105000,64.991301
IDN,1107300,71.847690
IDN,1111000,44.762767
IDN,1501100,105.983842
IDN,1501200,37.350791
IDN,1501300,97.805763
IDN,9080000,42.596434
IDN,9120000,40.417167
IDN,9140000,51.505986
IND,1000000,44.433498
IND,1101000,58.348321
IND,1101100,58.168612
IND,1103000,36.941413
IND,1105000,47.407626
IND,1107300,61.555016
IND,1111000,39.133017
IND,1501100,94.774258
IND,1501200,37.690829
IND,1501300,79.000831
IND,9080000,23.028975
IND,9120000,35.474650
IND,9140000,42.410484
IRL,1000000,141.623370
IRL,1101000,139.852863
IRL,1101100,139.739732
IRL,1103000,130.264944
IRL,1105000,128.168688
IRL,1107300,292.976643
IRL,1111000,172.110563
IRL,1501100,94.826895
IRL,1501200,152.833399
IRL,1501300,92.551352
IRL,9080000,189.129322
IRL,9120000,146.147340
IRL,9140000,153.668466
IRN,1000000,43.022550
IRQ,1000000,59.726528
IRQ,1101000,93.785084
IRQ,1101100,95.120462
IRQ,1103000,52.965746
IRQ,1105000,67.674001
IRQ,1107300,99.028091
IRQ,1111000,55.025493
IRQ,1501100,63.064528
IRQ,1501200,61.163040
IRQ,1501300,56.839250
IRQ,9080000,47.710879
IRQ,9120000,51.570298
IRQ,9140000,68.366829
ISL,1000000,177.132522
ISL,1101000,162.914475
ISL,1101100,167.855100
ISL,1103000,177.404867
ISL,1105000,147.413881
ISL,1107300,377.725043
ISL,1111000,218.991642
ISL,1501100,112.465641
ISL,1501200,185.165714
ISL,1501300,104.107351
ISL,9080000,216.174195
ISL,9120000,238.619416
ISL,9140000,177.957961
ISR,1000000,179.076038
ISR,1101000,189.649271
ISR,1101100,188.731021
ISR,1103000,174.129085
ISR,1105000,157.708547
ISR,1107300,194.699482
ISR,1111000,215.194355
ISR,1501100,138.833683
ISR,1501200,269.437301
ISR,1501300,129.522943
ISR,9080000,203.765280
ISR,9120000,159.535817
ISR,9140000,170.750841
ITA,1000000,115.709020
ITA,1101000,123.721335
ITA,1101100,128.796773
ITA,1103000,135.356324
ITA,1105000,116.017309
ITA,1107300,183.975962
ITA,1111000,146.472523
ITA,1501100,89.289028
ITA,1501200,114.344269
ITA,1501300,80.546469
ITA,9080000,126.381582
ITA,9120000,111.054721
ITA,9140000,110.199070
JAM,1000000,83.935636
JAM,1101000,122.739303
JAM,1101100,122.633776
JAM,1103000,53.960944
JAM,1105000,60.703700
JAM,1107300,49.175510
JAM,1111000,72.551679
JAM,1501100,121.791046
JAM,1501200,94.096567
JAM,1501300,114.629596
JAM,9080000,56.656707
JAM,9120000,61.692920
JAM,9140000,66.847015
JOR,1000000,72.395172
JOR,1101000,99.554797
JOR,1101100,101.042227
JOR,1103000,63.979822
JOR,1105000,83.284114
JOR,1107300,101.045360
JOR,1111000,61.439848
JOR,1501100,105.372345
JOR,1501200,68.707885
JOR,1501300,95.647554
JOR,9080000,52.936103
JOR,9120000,72.753610
JOR,9140000,66.502903
JPN,1000000,142.481792
JPN,1101000,191.150205
JPN,1101100,199.507794
JPN,1103000,134.512724
