iso3,year,activity,status,value,source
AGO,2021,S,2,9.594,LFS - Employment Survey
AGO,2021,S,3,41.861,LFS - Employment Survey
AGO,2021,S,TOTAL,108.984,LFS - Employment Survey
AGO,2021,T,3,0.945,LFS - Employment Survey
AGO,2021,T,TOTAL,283.194,LFS - Employment Survey
AGO,2021,TOTAL,2,1102.983,LFS - Employment Survey
AGO,2021,TOTAL,3,4953.448,LFS - Employment Survey
AGO,2021,TOTAL,TOTAL,11115.446,LFS - Employment Survey
AGO,2021,U,TOTAL,0.782,LFS - Employment Survey
AGO,2021,X,TOTAL,250.11,LFS - Employment Survey
AGO,2022,A,2,753.951,LFS - Employment Survey
AGO,2022,A,3,3519.979,LFS - Employment Survey
AGO,2022,A,TOTAL,6078.278,LFS - Employment Survey
AGO,2022,B,2,2.204,LFS - Employment Survey
AGO,2022,B,3,34.051,LFS - Employment Survey
AGO,2022,B,TOTAL,103.101,LFS - Employment Survey
AGO,2022,C,2,49.233,LFS - Employment Survey
AGO,2022,C,3,82.346,LFS - Employment Survey
AGO,2022,C,TOTAL,290.747,LFS - Employment Survey
AGO,2022,D,2,3.254,LFS - Employment Survey
AGO,2022,D,3,5.726,LFS - Employment Survey
AGO,2022,D,TOTAL,27.993,LFS - Employment Survey
AGO,2022,E,3,0.863,LFS - Employment Survey
AGO,2022,E,TOTAL,13.744,LFS - Employment Survey
AGO,2022,F,2,109.459,LFS - Employment Survey
AGO,2022,F,3,103.972,LFS - Employment Survey
AGO,2022,F,TOTAL,378.288,LFS - Employment Survey
AGO,2022,G,2,132.121,LFS - Employment Survey
AGO,2022,G,3,1782.261,LFS - Employment Survey
AGO,2022,G,TOTAL,2312.222,LFS - Employment Survey
AGO,2022,H,2,18.277,LFS - Employment Survey
AGO,2022,H,3,155.209,LFS - Employment Survey
AGO,2022,H,TOTAL,399.174,LFS - Employment Survey
AGO,2022,I,2,15.44,LFS - Employment Survey
AGO,2022,I,3,4.63,LFS - Employment Survey
AGO,2022,I,TOTAL,106.373,LFS - Employment Survey
AGO,2022,J,2,2.825,LFS - Employment Survey
AGO,2022,J,3,10.641,LFS - Employment Survey
AGO,2022,J,TOTAL,49.472,LFS - Employment Survey
AGO,2022,K,3,3.906,LFS - Employment Survey
AGO,2022,K,TOTAL,45.076,LFS - Employment Survey
AGO,2022,L,2,1.154,LFS - Employment Survey
AGO,2022,L,TOTAL,7.429,LFS - Employment Survey
AGO,2022,M,2,4.321,LFS - Employment Survey
AGO,2022,M,3,4.67,LFS - Employment Survey
AGO,2022,M,TOTAL,28.731,LFS - Employment Survey
AGO,2022,N,2,5.823,LFS - Employment Survey
AGO,2022,N,3,10.082,LFS - Employment Survey
AGO,2022,N,TOTAL,225.226,LFS - Employment Survey
AGO,2022,O,3,3.047,LFS - Employment Survey
AGO,2022,O,TOTAL,571.122,LFS - Employment Survey
AGO,2022,P,2,2.605,LFS - Employment Survey
AGO,2022,P,3,5.551,LFS - Employment Survey
AGO,2022,P,TOTAL,355.7,LFS - Employment Survey
AGO,2022,Q,2,1.544,LFS - Employment Survey
AGO,2022,Q,3,2.471,LFS - Employment Survey
AGO,2022,Q,TOTAL,115.981,LFS - Employment Survey
AGO,2022,R,3,2.318,LFS - Employment Survey
AGO,2022,R,TOTAL,10.647,LFS - Employment Survey
AGO,2022,S,2,20.096,LFS - Employment Survey
AGO,2022,S,3,62.984,LFS - Employment Survey
AGO,2022,S,TOTAL,144.21,LFS - Employment Survey
AGO,2022,T,3,0.984,LFS - Employment Survey
AGO,2022,T,TOTAL,316.247,LFS - Employment Survey
AGO,2022,TOTAL,2,1122.908,LFS - Employment Survey
AGO,2022,TOTAL,3,5796.028,LFS - Employment Survey
AGO,2022,TOTAL,TOTAL,11804.417,LFS - Employment Survey
AGO,2022,U,TOTAL,1.155,LFS - Employment Survey
AGO,2022,X,TOTAL,223.501,LFS - Employment Survey
AGO,2023,A,2,1119.568,LFS - Employment Survey
AGO,2023,A,3,3131.906,LFS - Employment Survey
AGO,2023,A,TOTAL,6042.833,LFS - Employment Survey
AGO,2023,B,3,39.805,LFS - Employment Survey
AGO,2023,B,TOTAL,122.432,LFS - Employment Survey
AGO,2023,C,2,85.869,LFS - Employment Survey
AGO,2023,C,3,90.19,LFS - Employment Survey
AGO,2023,C,TOTAL,373.387,LFS - Employment Survey
AGO,2023,D,3,7.056,LFS - Employment Survey
AGO,2023,D,TOTAL,31.28,LFS - Employment Survey
AGO,2023,E,TOTAL,19.988,LFS - Employment Survey
AGO,2023,F,2,120.44,LFS - Employment Survey
AGO,2023,F,3,85.024,LFS - Employment Survey
AGO,2023,F,TOTAL,350.94,LFS - Employment Survey
AGO,2023,G,2,165.861,LFS - Employment Survey
AGO,2023,G,3,1678.957,LFS - Employment Survey
AGO,2023,G,TOTAL,2248.771,LFS - Employment Survey
AGO,2023,H,2,11.134,LFS - Employment Survey
AGO,2023,H,3,209.068,LFS - Employment Survey
AGO,2023,H,TOTAL,454.875,LFS - Employment Survey
AGO,2023,I,2,14.198,LFS - Employment Survey
AGO,2023,I,TOTAL,113.067,LFS - Employment Survey
AGO,2023,J,3,8.536,LFS - Employment Survey
AGO,2023,J,TOTAL,52.248,LFS - Employment Survey
AGO,2023,K,3,5.882,LFS - Employment Survey
AGO,2023,K,TOTAL,83.692,LFS - Employment Survey
AGO,2023,M,TOTAL,32.451,LFS - Employment Survey
AGO,2023,N,2,12.564,LFS - Employment Survey
AGO,2023,N,3,13.636,LFS - Employment Survey
AGO,2023,N,TOTAL,208.628,LFS - Employment Survey
AGO,2023,O,TOTAL,572.966,LFS - Employment Survey
AGO,2023,P,3,14.004,LFS - Employment Survey
AGO,2023,P,TOTAL,356.132,LFS - Employment Survey
AGO,2023,Q,2,7.901,LFS - Employment Survey
AGO,2023,Q,3,4.416,LFS - Employment Survey
AGO,2023,Q,TOTAL,105.47,LFS - Employment Survey
AGO,2023,R,TOTAL,19.646,LFS - Employment Survey
AGO,2023,S,2,36.782,LFS - Employment Survey
AGO,2023,S,3,78.845,LFS - Employment Survey
AGO,2023,S,TOTAL,159.522,LFS - Employment Survey
AGO,2023,T,TOTAL,405.536,LFS - Employment Survey
AGO,2023,TOTAL,2,1582.36,LFS - Employment Survey
AGO,2023,TOTAL,3,5387.446,LFS - Employment Survey
AGO,2023,TOTAL,TOTAL,12126.404,LFS - Employment Survey
AGO,2023,X,TOTAL,367.8,LFS - Employment Survey
AGO,2024,A,2,1060.963,LFS - Employment Survey
AGO,2024,A,3,2940.608,LFS - Employment Survey
AGO,2024,A,TOTAL,5915.386,LFS - Employment Survey
AGO,2024,B,2,3.517,LFS - Employment Survey
AGO,2024,B,3,36.181,LFS - Employment Survey
AGO,2024,B,TOTAL,139.133,LFS - Employment Survey
AGO,2024,C,2,56.068,LFS - Employment Survey
AGO,2024,C,3,127.725,LFS - Employment Survey
AGO,2024,C,TOTAL,422.22,LFS - Employment Survey
AGO,2024,D,2,1.285,LFS - Employment Survey
AGO,2024,D,3,4.183,LFS - Employment Survey
AGO,2024,D,TOTAL,24.113,LFS - Employment Survey
AGO,2024,E,3,0.967,LFS - Employment Survey
AGO,2024,E,TOTAL,19.666,LFS - Employment Survey
AGO,2024,F,2,114.943,LFS - Employment Survey
AGO,2024,F,3,100.893,LFS - Employment Survey
AGO,2024,F,TOTAL,412.063,LFS - Employment Survey
AGO,2024,G,2,163.182,LFS - Employment Survey
AGO,2024,G,3,2013.678,LFS - Employment Survey
AGO,2024,G,TOTAL,2763.424,LFS - Employment Survey
AGO,2024,H,2,17.811,LFS - Employment Survey
AGO,2024,H,3,192.405,LFS - Employment Survey
AGO,2024,H,TOTAL,506.035,LFS - Employment Survey
AGO,2024,I,2,12.771,LFS - Employment Survey
AGO,2024,I,3,9.675,LFS - Employment Survey
AGO,2024,I,TOTAL,130.942,LFS - Employment Survey
AGO,2024,J,2,3.294,LFS - Employment Survey
AGO,2024,J,3,9.077,LFS - Employment Survey
AGO,2024,J,TOTAL,56.379,LFS - Employment Survey
AGO,2024,K,3,9.679,LFS - Employment Survey
AGO,2024,K,TOTAL,41.061,LFS - Employment Survey
AGO,2024,L,TOTAL,5.007,LFS - Employment Survey
AGO,2024,M,2,3.235,LFS - Employment Survey
AGO,2024,M,3,5.492,LFS - Employment Survey
AGO,2024,M,TOTAL,30.442,LFS - Employment Survey
AGO,2024,N,2,10.628,LFS - Employment Survey
AGO,2024,N,3,18.475,LFS - Employment Survey
AGO,2024,N,TOTAL,314.306,LFS - Employment Survey
AGO,2024,O,TOTAL,552.377,LFS - Employment Survey
AGO,2024,P,2,0.586,LFS - Employment Survey
AGO,2024,P,3,10.905,LFS - Employment Survey
AGO,2024,P,TOTAL,382.005,LFS - Employment Survey
AGO,2024,Q,2,3.226,LFS - Employment Survey
AGO,2024,Q,3,6.849,LFS - Employment Survey
AGO,2024,Q,TOTAL,146.665,LFS - Employment Survey
AGO,2024,R,3,1.901,LFS - Employment Survey
AGO,2024,R,TOTAL,30.217,LFS - Employment Survey
AGO,2024,S,2,27.763,LFS - Employment Survey
AGO,2024,S,3,106.665,LFS - Employment Survey
AGO,2024,S,TOTAL,204.682,LFS - Employment Survey
AGO,2024,T,3,12.07,LFS - Employment Survey
AGO,2024,T,TOTAL,398.807,LFS - Employment Survey
AGO,2024,TOTAL,2,1481.024,LFS - Employment Survey
AGO,2024,TOTAL,3,5608.23,LFS - Employment Survey
AGO,2024,TOTAL,TOTAL,12697.454,LFS - Employment Survey
AGO,2024,U,TOTAL,0.716,LFS - Employment Survey
AGO,2024,X,TOTAL,201.809,LFS - Employment Survey
AGO,2025,A,2,1131.49,LFS - Employment Survey
AGO,2025,A,3,3211.07,LFS - Employment Survey
AGO,2025,A,TOTAL,6442.333,LFS - Employment Survey
AGO,2025,B,2,2.462,LFS - Employment Survey
AGO,2025,B,3,34.298,LFS - Employment Survey
AGO,2025,B,TOTAL,187.733,LFS - Employment Survey
AGO,2025,C,2,64.328,LFS - Employment Survey
AGO,2025,C,3,177.449,LFS - Employment Survey
AGO,2025,C,TOTAL,547.699,LFS - Employment Survey
AGO,2025,D,2,0.475,LFS - Employment Survey
AGO,2025,D,3,4.807,LFS - Employment Survey
AGO,2025,D,TOTAL,28.701,LFS - Employment Survey
AGO,2025,E,3,6.036,LFS - Employment Survey
AGO,2025,E,TOTAL,25.561,LFS - Employment Survey
AGO,2025,F,2,131.154,LFS - Employment Survey
AGO,2025,F,3,104.471,LFS - Employment Survey
AGO,2025,F,TOTAL,480.041,LFS - Employment Survey
AGO,2025,G,2,163.856,LFS - Employment Survey
AGO,2025,G,3,2170.495,LFS - Employment Survey
AGO,2025,G,TOTAL,2916.678,LFS - Employment Survey
AGO,2025,H,2,21.108,LFS - Employment Survey
AGO,2025,H,3,217.628,LFS - Employment Survey
AGO,2025,H,TOTAL,555.515,LFS - Employment Survey
AGO,2025,I,2,10.603,LFS - Employment Survey
AGO,2025,I,3,12.707,LFS - Employment Survey
AGO,2025,I,TOTAL,145.083,LFS - Employment Survey
AGO,2025,J,2,1.736,LFS - Employment Survey
AGO,2025,J,3,16.648,LFS - Employment Survey
AGO,2025,J,TOTAL,60.87,LFS - Employment Survey
AGO,2025,K,3,8.977,LFS - Employment Survey
AGO,2025,K,TOTAL,62.134,LFS - Employment Survey
AGO,2025,L,3,2.938,LFS - Employment Survey
AGO,2025,L,TOTAL,10.053,LFS - Employment Survey
AGO,2025,M,2,3.066,LFS - Employment Survey
AGO,2025,M,3,10.784,LFS - Employment Survey
AGO,2025,M,TOTAL,45.363,LFS - Employment Survey
AGO,2025,N,2,14.613,LFS - Employment Survey
AGO,2025,N,3,26.712,LFS - Employment Survey
AGO,2025,N,TOTAL,361.245,LFS - Employment Survey
AGO,2025,O,TOTAL,567.068,LFS - Employment Survey
AGO,2025,P,3,10.56,LFS - Employment Survey
AGO,2025,P,TOTAL,402.902,LFS - Employment Survey
AGO,2025,Q,2,3.453,LFS - Employment Survey
AGO,2025,Q,3,7.476,LFS - Employment Survey
AGO,2025,Q,TOTAL,155.139,LFS - Employment Survey
AGO,2025,R,3,2.354,LFS - Employment Survey
AGO,2025,R,TOTAL,21.784,LFS - Employment Survey
AGO,2025,S,2,26.074,LFS - Employment Survey
AGO,2025,S,3,127.41,LFS - Employment Survey
AGO,2025,S,TOTAL,231.324,LFS - Employment Survey
AGO,2025,T,3,25.546,LFS - Employment Survey
AGO,2025,T,TOTAL,507.149,LFS - Employment Survey
AGO,2025,TOTAL,2,1579.847,LFS - Employment Survey
AGO,2025,TOTAL,3,6179.17,LFS - Employment Survey
AGO,2025,TOTAL,TOTAL,13984.984,LFS - Employment Survey
AGO,2025,X,TOTAL,230.403,LFS - Employment Survey
ALB,2015,A,2,0.913,LFS - Labour Force Survey
ALB,2015,A,3,149.901,LFS - Labour Force Survey
ALB,2015,A,TOTAL,445.532,LFS - Labour Force Survey
ALB,2015,B,TOTAL,8.238,LFS - Labour Force Survey
ALB,2015,C,2,4.075,LFS - Labour Force Survey
ALB,2015,C,3,11.679,LFS - Labour Force Survey
ALB,2015,C,TOTAL,99.828,LFS - Labour Force Survey
