iso3,year,activity,occupation,value,source
ARG,2020,B,7,48.79,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,B,8,57.45,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,B,9,56.76,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,B,TOTAL,47.85,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,B,X,48.26,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,C,1,41.02,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,C,2,35.29,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,C,3,37.21,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,C,4,40.61,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,C,5,33.02,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,C,6,42.8,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,C,7,35.69,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,C,8,40.22,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,C,9,37.6,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,C,TOTAL,37.11,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,C,X,36.41,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,D,1,43.2,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,D,2,40.7,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,D,3,38.07,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,D,4,42.19,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,D,5,37.43,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,D,7,45.34,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,D,8,42.31,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,D,9,56.66,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,D,TOTAL,41.64,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,D,X,40.16,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,E,1,39.7,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,E,2,34.31,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,E,3,36.72,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,E,4,47.31,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,E,5,46.37,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,E,7,38.12,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,E,8,47.57,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,E,9,34.81,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,E,TOTAL,41,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,E,X,40.23,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,F,1,37.7,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,F,2,40.59,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,F,3,38.82,"LFS - Encuesta Permanente de Hogares, Urbano"
