iso3,year,sex,age,disabled,total,source
ARM,2024,M,25-54,31.333,563.227,LFS - Household Labour Force Survey
ARM,2024,M,55-64,23.669,180.62,LFS - Household Labour Force Survey
ARM,2024,M,GE65,43.458,206.494,LFS - Household Labour Force Survey
ATG,2023,F,25-54,0.359,23.146,LFS - Labour Force Survey
ATG,2023,F,55-64,0.233,6.314,LFS - Labour Force Survey
ATG,2023,F,GE65,0.962,5.589,LFS - Labour Force Survey
ATG,2023,M,25-54,0.165,20.796,LFS - Labour Force Survey
ATG,2023,M,55-64,0.229,5.323,LFS - Labour Force Survey
ATG,2023,M,GE65,0.469,4.256,LFS - Labour Force Survey
AUT,2010,F,15-24,4.855,453.108,HIES - EU Statistics on Income and Living Conditions
AUT,2010,F,25-54,100.559,1818.79,HIES - EU Statistics on Income and Living Conditions
AUT,2010,F,55-64,69.954,499.549,HIES - EU Statistics on Income and Living Conditions
AUT,2010,F,GE65,213.112,813.457,HIES - EU Statistics on Income and Living Conditions
AUT,2010,M,15-24,6.477,499.396,HIES - EU Statistics on Income and Living Conditions
AUT,2010,M,25-54,83.163,1784.983,HIES - EU Statistics on Income and Living Conditions
AUT,2010,M,55-64,65.592,478.511,HIES - EU Statistics on Income and Living Conditions
AUT,2010,M,GE65,117.029,600.921,HIES - EU Statistics on Income and Living Conditions
AUT,2011,F,15-24,9.529,477.524,HIES - EU Statistics on Income and Living Conditions
AUT,2011,F,25-54,98.944,1797.373,HIES - EU Statistics on Income and Living Conditions
AUT,2011,F,55-64,60.181,517.258,HIES - EU Statistics on Income and Living Conditions
AUT,2011,F,GE65,215.515,813.254,HIES - EU Statistics on Income and Living Conditions
AUT,2011,M,15-24,10.462,526.833,HIES - EU Statistics on Income and Living Conditions
AUT,2011,M,25-54,85.813,1783.738,HIES - EU Statistics on Income and Living Conditions
AUT,2011,M,55-64,64.158,476.278,HIES - EU Statistics on Income and Living Conditions
AUT,2011,M,GE65,129.763,605.461,HIES - EU Statistics on Income and Living Conditions
AUT,2012,F,15-24,11.827,465.564,HIES - EU Statistics on Income and Living Conditions
AUT,2012,F,25-54,107.232,1806.269,HIES - EU Statistics on Income and Living Conditions
AUT,2012,F,55-64,60.433,524.27,HIES - EU Statistics on Income and Living Conditions
AUT,2012,F,GE65,183.038,821.737,HIES - EU Statistics on Income and Living Conditions
AUT,2012,M,15-24,10.504,549.351,HIES - EU Statistics on Income and Living Conditions
AUT,2012,M,25-54,107.914,1752.815,HIES - EU Statistics on Income and Living Conditions
AUT,2012,M,55-64,65.673,493.573,HIES - EU Statistics on Income and Living Conditions
AUT,2012,M,GE65,124.333,618.091,HIES - EU Statistics on Income and Living Conditions
AUT,2013,F,15-24,5.321,471.518,HIES - EU Statistics on Income and Living Conditions
AUT,2013,F,25-54,109.862,1796.219,HIES - EU Statistics on Income and Living Conditions
AUT,2013,F,55-64,55.354,517.169,HIES - EU Statistics on Income and Living Conditions
AUT,2013,F,GE65,198.097,833.983,HIES - EU Statistics on Income and Living Conditions
AUT,2013,M,15-24,12.399,541.962,HIES - EU Statistics on Income and Living Conditions
AUT,2013,M,25-54,104.967,1733.811,HIES - EU Statistics on Income and Living Conditions
AUT,2013,M,55-64,69.81,529.005,HIES - EU Statistics on Income and Living Conditions
AUT,2013,M,GE65,124.713,633.718,HIES - EU Statistics on Income and Living Conditions
AUT,2014,F,15-24,5.589,459.324,HIES - EU Statistics on Income and Living Conditions
AUT,2014,F,25-54,133.363,1815.392,HIES - EU Statistics on Income and Living Conditions
AUT,2014,F,55-64,49.512,526.097,HIES - EU Statistics on Income and Living Conditions
AUT,2014,F,GE65,204.607,850.378,HIES - EU Statistics on Income and Living Conditions
AUT,2014,M,15-24,13.571,555.731,HIES - EU Statistics on Income and Living Conditions
AUT,2014,M,25-54,93.364,1711.461,HIES - EU Statistics on Income and Living Conditions
AUT,2014,M,55-64,67.277,532.883,HIES - EU Statistics on Income and Living Conditions
AUT,2014,M,GE65,125.455,649.693,HIES - EU Statistics on Income and Living Conditions
AUT,2015,F,25-54,114.834,1817.535,HIES - EU Statistics on Income and Living Conditions
AUT,2015,F,55-64,52.922,546.908,HIES - EU Statistics on Income and Living Conditions
AUT,2015,F,GE65,192.333,860.104,HIES - EU Statistics on Income and Living Conditions
AUT,2015,M,15-24,5.493,545.6,HIES - EU Statistics on Income and Living Conditions
AUT,2015,M,25-54,89.916,1733.237,HIES - EU Statistics on Income and Living Conditions
AUT,2015,M,55-64,73.839,536.503,HIES - EU Statistics on Income and Living Conditions
AUT,2015,M,GE65,129.46,662.823,HIES - EU Statistics on Income and Living Conditions
AUT,2016,F,15-24,5.576,467.721,HIES - EU Statistics on Income and Living Conditions
AUT,2016,F,25-54,103.871,1819,HIES - EU Statistics on Income and Living Conditions
AUT,2016,F,55-64,59.697,557.737,HIES - EU Statistics on Income and Living Conditions
AUT,2016,F,GE65,203.809,868.887,HIES - EU Statistics on Income and Living Conditions
