iso3,year,function,sex,share,source
BIH,2020,pension,M,1.0000,ILO - Social Security Inquiry Database
BIH,2020,pension,T,0.7530,ILO - Social Security Inquiry Database
BLR,2015,pension,F,1.0000,ILO - Social Security Inquiry Database
BLR,2015,pension,M,1.0000,ILO - Social Security Inquiry Database
BLR,2015,pension,T,1.0000,ILO - Social Security Inquiry Database
BLR,2016,pension,F,1.0000,ILO - Social Security Inquiry Database
BLR,2016,pension,M,1.0000,ILO - Social Security Inquiry Database
BLR,2016,pension,T,1.0000,ILO - Social Security Inquiry Database
BLR,2019,disab,F,1.0000,ILO - Social Security Inquiry Database
BLR,2019,disab,M,1.0000,ILO - Social Security Inquiry Database
BLR,2019,disab,T,1.0000,ILO - Social Security Inquiry Database
BLR,2019,pension,F,1.0000,ILO - Social Security Inquiry Database
BLR,2019,pension,M,1.0000,ILO - Social Security Inquiry Database
BLR,2019,pension,T,1.0000,ILO - Social Security Inquiry Database
BLR,2020,disab,F,1.0000,ILO - Social Security Inquiry Database
BLR,2020,disab,M,1.0000,ILO - Social Security Inquiry Database
BLR,2020,disab,T,1.0000,ILO - Social Security Inquiry Database
BLR,2020,pension,F,1.0000,ILO - Social Security Inquiry Database
BLR,2020,pension,M,1.0000,ILO - Social Security Inquiry Database
BLR,2020,pension,T,1.0000,ILO - Social Security Inquiry Database
BLZ,2011,pension,T,0.6460,ILO - Social Security Inquiry Database
BLZ,2019,disab,T,0.0970,ILO - Social Security Inquiry Database
BLZ,2019,pension,F,0.4200,ILO - Social Security Inquiry Database
BLZ,2019,pension,M,0.5550,ILO - Social Security Inquiry Database
BLZ,2019,pension,T,0.4990,ILO - Social Security Inquiry Database
BLZ,2021,disab,F,0.0970,ILO - Social Security Inquiry Database
BLZ,2021,disab,M,0.1170,ILO - Social Security Inquiry Database
BLZ,2021,disab,T,0.1070,ILO - Social Security Inquiry Database
BLZ,2021,pension,F,0.2730,ILO - Social Security Inquiry Database
BLZ,2021,pension,M,0.4790,ILO - Social Security Inquiry Database
BLZ,2021,pension,T,0.3750,ILO - Social Security Inquiry Database
BMU,2015,disab,T,0.3340,ILO - Social Security Inquiry Database
BMU,2016,disab,T,0.3340,ILO - Social Security Inquiry Database
